entry,class,source,form,title,location,published,corrected,note,claim_ids
1,quantity,pipeline,full,The unadjusted estimate is misstated by a factor of ten,published p. 5,"...a [[2.1 percentage point]] increase in Democratic vote share, though this estimate is uncertain, as evidenced by its large [[standard error of 3.0 percentage points]].","...a [[0.2 percentage point]] increase in Democratic vote share, though this estimate is uncertain, as evidenced by its large [[standard error of 2.2 percentage points]].","Table 4 reports 0.0021 with a standard error of 0.0225, which is 0.21 and 2.25 percentage points; the corrected sentence carries them at the one decimal the published sentence uses. The next sentence in the article applies percentage point units correctly to the adjusted estimate. The published standard error of 3.0 corresponds to no model in the paper or the appendix. The claim the sentence makes is unaffected: on either reading the unadjusted estimate is small and swamped by its standard error, and the paper's conclusion rests on the covariate-adjusted estimate in column 2, which is reported and interpreted correctly throughout.",results_unadj_est;results_unadj_se
2,label,pipeline,brief,Figure G.2 names the wrong effect size,published app. 15,Power when PATE = [[0.1]],Power when PATE = [[0.01]],"The simulated effects are drawn from a normal distribution centred at 0.01, which is what the appendix text says two paragraphs earlier. The label is a hardcoded string in the analysis script; nothing plotted is affected.",fg2_ols_pate_label;fg2_post_pate_label
3,label,pipeline,brief,Covariate row labels are wrong in five appendix tables,published app. 10--14,"[[thirteen covariate rows across Tables E.7, F.8, F.9, F.10 and F.11 naming a variable the model does not contain]]",[[the variables the models do contain]],"No coefficient, standard error or summary statistic is affected: the estimates beside the wrong labels are the ones the caption describes. Both balance models regress the treatment indicator on lagged two-party vote margins, not shares. No ZIP code is missing 2016 returns, so the ZIP-level models carry no 2016 missingness indicator, and the label vector in the analysis script names one anyway. The same vector is reused for all three outcomes, which is also why the 2014 and 2012 covariate rows of Tables F.10 and F.11 read Two Party Vote Share where the regressors are vote margins and vote totals. The 2014 and 2012 rows of Table F.9 are correct as published.",
4,float,pipeline,full,Appendix Table B.3 reprints Table B.4,published app. 6,"Table B.3 is captioned ""Effects on vote share (CD fixed effects)."" Every cell beneath that caption is [[identical to Table B.4]], ""Effects on vote margin (CD fixed effects)"": the same coefficients, standard errors, R-squared values and covariate labels, all on the vote margin scale. The vote share models with congressional district fixed effects appear nowhere in the appendix.","Those models are estimable from the deposited data, and [[this edition prints them]] in place of the duplicated table. The effect of any treatment video on vote share with district fixed effects is 0.0042 (0.0217) without covariates, the same substantive result as Table 4.","This is the one entry where the corrected artifact is a float rather than a token: the sentence around it was never wrong, and the table is what changed.",tb3_m1_any_est;tb3_m1_any_se;tb3_m1_int_est;tb3_m1_int_se;tb3_m1_nclust;tb3_m1_nobs;tb3_m1_r2;tb3_m2_any_est;tb3_m2_any_se;tb3_m2_int_est;tb3_m2_int_se;tb3_m2_m2012_est;tb3_m2_m2012_se;tb3_m2_m2014_est;tb3_m2_m2014_se;tb3_m2_m2016_est;tb3_m2_m2016_se;tb3_m2_nclust;tb3_m2_nobs;tb3_m2_r2;tb3_m2_x2012_est;tb3_m2_x2012_se;tb3_m2_x2014_est;tb3_m2_x2014_se;tb3_m2_x2016_est;tb3_m2_x2016_se;tb3_m3_int_est;tb3_m3_int_se;tb3_m3_nclust;tb3_m3_nobs;tb3_m3_r2;tb3_m3_tv1_est;tb3_m3_tv1_se;tb3_m3_tv2_est;tb3_m3_tv2_se;tb3_m4_int_est;tb3_m4_int_se;tb3_m4_m2012_est;tb3_m4_m2012_se;tb3_m4_m2014_est;tb3_m4_m2014_se;tb3_m4_m2016_est;tb3_m4_m2016_se;tb3_m4_nclust;tb3_m4_nobs;tb3_m4_r2;tb3_m4_tv1_est;tb3_m4_tv1_se;tb3_m4_tv2_est;tb3_m4_tv2_se;tb3_m4_x2012_est;tb3_m4_x2012_se;tb3_m4_x2014_est;tb3_m4_x2014_se;tb3_m4_x2016_est;tb3_m4_x2016_se
5,bibliographic,reference_audit,brief,Seven authors of Bond et al. (2012) are mangled in the reference list,published p. 7,"Bond RM, Fariss CJ, [[JonesJonesKramer JJ]], et al. (2012) [[Cameron Marlow, Jaime E. Settle and James H. Fowler]]A 61-million-person experiment","Bond RM, Fariss CJ, Jones JJ, Kramer ADI, et al. (2012) A 61-million-person experiment","Three surnames were run together and four more authors were carried into the title. Crossref, doi 10.1038/nature11421: Bond, Fariss, Jones, Kramer, Marlow, Settle, Fowler.",
6,bibliographic,reference_audit,brief,"Coppock, Hill and Vavreck (2020) is given the wrong third author and the wrong title",published p. 7,"Coppock A, Hill SJ and [[Lynn V]] (2020) [[Persuasive Effects of Presidential Campaign Advertising: Results of 53 Real-Time Experiments in 2016. Science Advances.]]","Coppock A, Hill SJ and Vavreck L (2020) The small effects of political advertising are small regardless of context, message, sender, or receiver: Evidence from 59 real-time randomized experiments. Science Advances 6(36): eabc4046.","Lynn Vavreck's given name was taken for her surname, and the title is the working paper's rather than the published article's; the entry carried no volume or article number. Crossref, doi 10.1126/sciadv.abc4046.",
7,bibliographic,reference_audit,brief,Two authors of Fowler et al. (2021) are run together,published p. 7,"Fowler EF, [[FranzMartin MM, Gregory J]], et al. (2021)","Fowler EF, Franz MM, Martin GJ, et al. (2021)","Crossref, doi 10.1017/S0003055420000696: Fowler, Franz, Martin, Peskowitz, Ridout.",
8,bibliographic,reference_audit,brief,The third author of Turitto et al. (2014) is given by his first name,published p. 7,"Turitto C, Green DP, [[Brian S]], et al. (2014)","Turitto C, Green DP, Stobie B, et al. (2014)","Crossref, doi 10.2139/ssrn.3537287: Turitto, Green, Stobie, Tranter.",
9,bibliographic,reference_audit,brief,Spenkuch and Toniatti (2018) lists its second author twice,published p. 7,"Spenkuch JL, [[Toniatti D and Toniatti D]] (2018)",Spenkuch JL and Toniatti D (2018),"Crossref, doi 10.1093/qje/qjy010: two authors.",
10,bibliographic,reference_audit,brief,Moore (2012) prints its page range without a dash,published p. 7,Political Analysis [[20(4): 460479]],Political Analysis 20(4): 460--479,"Crossref, doi 10.1093/pan/mps025: pages 460--479.",
11,bibliographic,reference_audit,brief,The Wesleyan Media Project's name is inverted,published p. 7,[[Media Project Wesleyan]] (2021),Wesleyan Media Project (2021),"The organization is the Wesleyan Media Project, as its own address (mediaproject.wesleyan.edu) gives it; the reference processor read ""Wesleyan"" as a given name.",
12,bibliographic,reference_audit,brief,A stray comma inside an author name,published p. 7,"Coppock A, Guess A and [[Ternovski, J]] (2016)","Coppock A, Guess A and Ternovski J (2016)",,
13,bibliographic,reference_audit,brief,Green and Gerber (2019) is given the wrong place of publication,published p. 7,"[[New York, NY:]] Brookings Institution Press","Washington, DC: Brookings Institution Press","Brookings Institution Press is in Washington, DC.",
